t (s),q_cond (W/cm2),q_inc (W/cm2),T_s (K)
99,-1.95502078667202,2.12747820687767,948.524661207149
99.25,-1.98663276525538,1.972112028815,941.326797479779
99.5,-2.0124637488963,1.82800053789207,934.289467899736
99.75,-2.03216893370693,1.69563285068317,927.43522104676
100,-2.05084358345453,1.56890441328513,920.715448907752
100.25,-2.06696057547144,1.44931216244944,914.139507065434
100.5,-2.07801245213781,1.33968033591158,907.73985341928
100.75,-2.08508927184055,1.23871663218905,901.516399442105
101,-2.0911561610787,1.14280331328911,895.437614633375
101.25,-2.0932040357863,1.05526572563185,889.536349256781
101.5,-2.09368649740253,0.973142014488413,883.788949108467
101.75,-2.08919213833817,0.900268770618354,878.236948979413
102,-2.08609795233416,0.829145113987616,872.810170802349
102.25,-2.07988869814658,0.764740088772741,867.551189568741
102.5,-2.06737957495546,0.710781822501164,862.512120993904
102.75,-2.05456882311348,0.660345100646215,857.633746498373
103,-2.03543984583596,0.620183345172457,852.983712174145
103.25,-2.01912612361819,0.579761418013834,848.461717048378
103.5,-2.0049374779424,0.539480358482453,844.051223095581
103.75,-1.9797717223097,0.514218113404793,839.90543084021
104,-1.94961899388451,0.497473932014692,835.994059148608
104.25,-1.91964588449791,0.483295686951332,832.260820481412
104.5,-1.88424416683714,0.477829571912788,828.759872485962
104.75,-1.84661804354687,0.477440651629126,825.462994959071
105,-1.82596623937302,0.45997645024388,822.117218695895
105.25,-1.8022714263648,0.447261599730648,818.882620538759
105.5,-1.76700685464064,0.449243752106345,815.891934533791
105.75,-1.73113112895467,0.453944447762238,813.060468425884
106,-1.69708003333294,0.458410714727906,810.34579776229
106.25,-1.66414599156234,0.463185955095536,807.736388261984
106.5,-1.62576045838746,0.475587289662441,805.30585220448
106.75,-1.59996112614437,0.475298170703207,802.843221882569
107,-1.5962719735461,0.450723439584117,800.149413368655
107.25,-1.58019002788352,0.439993415217333,797.56859241139
107.5,-1.55101917743638,0.444789429230738,795.200421413572
